guest_name_norm,booking_id,email,paese,cibo_preferito,prima_visita,prima_visita_effettiva,check_out,durata_prima_visita,canale_prima_visita,currency,room_rate,adr_prima_visita,cancelled,net_revenue_eur,alta_stagione_prima_visita,post_promo,date_corretta,nome_ambiguo,repeat
carlos nowak,BK00619,carlos.nowak542@outlook.com,UAE,italiana,2025-01-24,2025-01-24,2025-01-25,1,OTA,EUR,250.21,250.21,False,250.21,False,False,False,False,1
carlos petrov,BK00306,carlos.petrov381@icloud.com,UK,vegana,2024-11-21,2024-11-21,2024-11-24,3,OTA,EUR,265.91,265.91,False,797.73,False,False,False,False,0
carlos rossi,BK00010,carlos.rossi414@yahoo.com,UK,pesce,2024-09-11,2024-09-11,2024-09-19,8,OTA,USD,343.8,316.3,False,2530.4,True,False,False,False,0
carlos smith,BK00437,carlos.smith390@icloud.com,USA,halal,2024-12-16,2024-12-16,2024-12-17,1,OTA,EUR,485.57,485.57,False,485.57,True,False,False,False,0
carlos suzuki,BK00451,carlos.suzuki274@icloud.com,UK,internazionale,2024-12-19,2024-12-19,2024-12-20,1,OTA,EUR,479.86,479.86,False,479.86,True,False,False,False,0
charlotte colombo,BK00393,charlotte.colombo268@yahoo.com,USA,pesce,2024-12-10,2024-12-10,2024-12-15,5,OTA,EUR,537.06,537.06,False,2685.3,True,False,False,False,0
charlotte conti,BK00166,charlotte.conti938@outlook.com,Switzerland,vegana,2024-10-10,2024-10-10,2024-10-12,2,OTA,EUR,190.92,190.92,False,381.84,False,False,False,False,0
charlotte ferreira,BK00554,charlotte.ferreira86@gmail.com,France,vegana,2025-01-06,2025-01-06,2025-01-09,3,OTA,USD,263.97,242.85,False,728.55,False,False,False,False,0
charlotte fischer,BK00731,charlotte.fischer428@icloud.com,UAE,vegana,2025-02-27,2025-02-27,2025-03-01,2,OTA,USD,244.48,224.92,False,449.84,False,False,False,False,1
charlotte hassan,BK00465,charlotte.hassan475@yahoo.com,Switzerland,pesce,2024-12-21,2024-12-21,2024-12-24,3,OTA,USD,450.19,414.17,False,1242.51,True,False,False,False,1
charlotte kowalski,BK00033,charlotte.kowalski289@icloud.com,UAE,pesce,2024-09-15,2024-09-15,2024-09-18,3,OTA,EUR,435.33,435.33,False,1305.99,True,False,False,False,0
charlotte patel,BK00114,charlotte.patel905@yahoo.com,Italy,vegana,2024-09-27,2024-09-27,2024-09-30,3,direct,EUR,462.97,462.97,False,1388.91,True,False,False,False,0
charlotte sharma,BK00363,charlotte.sharma917@outlook.com,Germany,vegana,2024-12-05,2024-12-05,2024-12-08,3,direct,EUR,456.4,456.4,False,1369.2,True,False,False,False,0
charlotte watanabe,BK00366,charlotte.watanabe956@outlook.com,Germany,internazionale,2024-12-06,2024-12-06,2024-12-16,10,direct,EUR,403.48,403.48,False,4034.8,True,False,False,False,0
charlotte yamamoto,BK00041,charlotte.yamamoto683@outlook.com,Germany,senza glutine,2024-09-16,2024-09-16,2024-09-19,3,OTA,EUR,378.53,378.53,False,1135.59,True,False,False,False,0
chen elena,BK00039,elena.chen755@yahoo.com,Netherlands,internazionale,2024-09-15,2024-09-15,2024-09-18,3,direct,EUR,335.56,335.56,False,1006.68,True,False,False,False,0
chen erik,BK00072,erik.chen40@icloud.com,UK,kosher,2024-09-21,2024-09-21,2024-09-27,6,OTA,EUR,418.99,418.99,False,2513.94,True,False,False,False,0
chen giorgia,BK00583,giorgia.chen877@gmail.com,France,senza glutine,2025-01-14,2025-01-14,2025-01-15,1,direct,EUR,236.97,236.97,False,236.97,False,False,False,False,0
chen lucia,BK00230,lucia.chen807@yahoo.com,Netherlands,kosher,2024-10-28,2024-10-28,2024-10-30,2,OTA,EUR,241.46,241.46,False,482.92,False,False,False,False,1
chen sara,BK00227,sara.chen951@gmail.com,UK,pesce,2024-10-27,2024-10-27,2024-10-28,1,direct,EUR,244.15,244.15,False,244.15,False,False,False,False,1
chen silvia,BK00738,silvia.chen211@yahoo.com,Spain,vegana,2025-03-02,2025-03-02,2025-03-05,3,direct,EUR,290.99,290.99,False,872.97,False,False,False,False,0
chen william,BK00656,william.chen487@outlook.com,Italy,italiana,2025-02-03,2025-02-03,2025-02-13,10,direct,EUR,301.35,301.35,False,3013.5,False,False,False,False,1
chiara kaczmarek,BK00421,chiara.kaczmarek591@icloud.com,Switzerland,pesce,2024-12-14,2024-12-14,2024-12-15,1,direct,EUR,372.35,372.35,False,372.35,True,False,False,False,0
chiara meyer,BK00002,chiara.meyer316@outlook.com,Germany,internazionale,2024-09-10,2024-09-10,2024-09-13,3,OTA,EUR,380.37,380.37,False,1141.11,True,False,False,False,0
chiara rossi,BK00607,chiara.rossi133@gmail.com,Spain,halal,2025-01-20,2025-01-20,2025-01-24,4,OTA,EUR,300.6,300.6,False,1202.4,False,False,False,False,0
chiara schmidt,BK00338,chiara.schmidt978@outlook.com,France,internazionale,2024-12-03,2024-12-03,2024-12-09,6,OTA,EUR,375.46,375.46,False,2252.76,True,False,False,False,0
chiara silva,BK00331,chiara.silva375@yahoo.com,Netherlands,pesce,2024-12-01,2024-12-01,2024-12-05,4,OTA,EUR,381.56,381.56,False,1526.24,True,False,False,False,0
chiara yamamoto,BK00187,chiara.yamamoto814@outlook.com,USA,pesce,2024-10-15,2024-10-15,2024-10-16,1,OTA,EUR,198.64,198.64,False,198.64,False,False,False,False,0
colombo david,BK00351,david.colombo469@outlook.com,UK,halal,2024-12-04,2024-12-04,2024-12-05,1,direct,EUR,448.38,448.38,False,448.38,True,False,False,False,0
colombo ekaterina,BK00304,ekaterina.colombo158@gmail.com,UK,italiana,2024-11-21,2024-11-21,2024-11-23,2,OTA,EUR,230.22,230.22,False,460.44,False,False,False,False,0
colombo francesco,BK00139,francesco.colombo380@yahoo.com,UAE,internazionale,2024-10-03,2024-10-03,2024-10-05,2,direct,USD,191.05,175.77,False,351.54,False,False,False,False,0
colombo hans,BK00405,hans.colombo550@gmail.com,UK,vegana,2024-12-12,2024-12-12,2024-12-16,4,direct,EUR,387.67,387.67,False,1550.68,True,False,False,False,1
colombo ingrid,BK00247,ingrid.colombo577@outlook.com,Italy,halal,2024-11-03,2024-11-03,2024-11-04,1,OTA,EUR,218.8,218.8,False,218.8,False,False,False,False,0
colombo isabella,BK00116,isabella.colombo793@yahoo.com,Spain,kosher,2024-09-27,2024-09-27,2024-10-03,6,OTA,EUR,411.6,411.6,False,2469.6,True,False,False,False,0
colombo kenji,BK00249,kenji.colombo839@outlook.com,Switzerland,vegetariana,2024-11-04,2024-11-04,2024-11-06,2,OTA,EUR,208.98,208.98,False,417.96,False,False,False,False,0
colombo luca,BK00195,luca.colombo40@icloud.com,Netherlands,pesce,2024-10-17,2024-10-17,2024-10-20,3,OTA,EUR,274.72,274.72,False,824.16,False,False,False,False,0
colombo nikolai,BK00534,nikolai.colombo177@icloud.com,USA,kosher,2024-12-31,2024-12-31,2025-01-01,1,OTA,EUR,404.61,404.61,False,404.61,True,False,False,False,0
colombo omar,BK00444,omar.colombo757@outlook.com,France,kosher,2024-12-18,2024-12-18,2024-12-21,3,OTA,USD,412.93,379.9,False,1139.7,True,False,False,False,0
colombo patricia,BK00164,patricia.colombo851@gmail.com,Switzerland,vegana,2024-10-09,2024-10-09,2024-10-13,4,OTA,USD,219.01,201.49,False,805.96,False,False,False,False,0
colombo robert,BK00504,robert.colombo284@icloud.com,UAE,kosher,2024-12-26,2024-12-26,2024-12-28,2,OTA,EUR,416.6,416.6,False,833.2,True,False,False,False,0
colombo simone,BK00262,simone.colombo263@gmail.com,France,senza glutine,2024-11-07,2024-11-07,2024-11-10,3,OTA,USD,264.57,243.4,False,730.2,False,False,False,False,1
colombo youssef,BK00740,youssef.colombo658@yahoo.com,Japan,kosher,2025-03-03,2025-03-03,2025-03-06,3,OTA,EUR,247.28,247.28,False,741.84,False,False,False,False,0
colombo yuki,BK00125,yuki.colombo920@icloud.com,Switzerland,italiana,2024-09-28,2024-09-28,2024-09-30,2,direct,EUR,417.02,417.02,False,834.04,True,False,False,False,0
conti dmitri,BK00177,dmitri.conti431@yahoo.com,Netherlands,vegetariana,2024-10-13,2024-10-13,2024-10-15,2,OTA,EUR,239.65,239.65,False,479.3,False,False,False,False,0
conti ekaterina,BK00322,ekaterina.conti66@outlook.com,USA,italiana,2024-11-28,2024-11-28,2024-11-29,1,OTA,EUR,228.64,228.64,False,228.64,False,False,False,False,1
conti hans,BK00128,hans.conti659@gmail.com,Italy,italiana,2024-09-29,2024-09-29,2024-10-02,3,direct,USD,470.12,432.51,False,1297.53,True,False,False,False,0
conti kenji,BK00461,kenji.conti660@outlook.com,UK,internazionale,2024-12-20,2024-12-20,2024-12-23,3,OTA,EUR,408.96,408.96,False,1226.88,True,False,False,False,0
conti lucia,BK00481,lucia.conti231@gmail.com,Netherlands,kosher,2024-12-23,2024-12-23,2024-12-25,2,OTA,EUR,424.97,424.97,False,849.94,True,False,False,False,0
conti matteo,BK00390,matteo.conti732@icloud.com,UK,italiana,2024-12-10,2024-12-10,2024-12-15,5,direct,USD,345.82,318.15,False,1590.75,True,False,False,False,0
conti olivia,BK00599,olivia.conti178@yahoo.com,France,senza glutine,2025-01-18,2025-01-18,2025-01-23,5,OTA,EUR,182.22,182.22,False,911.1,False,False,False,False,1
costa ekaterina,BK00483,ekaterina.costa794@icloud.com,Germany,vegetariana,2024-12-23,2024-12-23,2024-12-27,4,direct,EUR,439.07,439.07,False,1756.28,True,False,False,False,0
costa erik,BK00566,erik.costa590@gmail.com,Japan,internazionale,2025-01-11,2025-01-11,2025-01-13,2,direct,EUR,272.7,272.7,False,545.4,False,False,False,False,0
costa hans,BK00305,hans.costa633@gmail.com,Spain,italiana,2024-11-21,2024-11-21,2024-11-23,2,OTA,EUR,280.48,280.48,False,560.96,False,False,False,False,0
costa henri,BK00395,henri.costa104@gmail.com,UAE,vegana,2024-12-10,2024-12-10,2024-12-13,3,direct,EUR,471.44,471.44,False,1414.32,True,False,False,False,0
costa ingrid,BK00031,ingrid.costa248@yahoo.com,Italy,senza glutine,2024-09-15,2024-09-15,2024-09-17,2,direct,EUR,378.96,378.96,False,757.92,True,False,False,False,0
costa kenji,BK00380,kenji.costa682@outlook.com,Spain,italiana,2024-12-07,2024-12-07,2024-12-09,2,OTA,USD,368.82,339.31,False,678.62,True,False,False,False,0
costa klaus,BK00016,klaus.costa496@yahoo.com,Netherlands,italiana,2024-09-12,2024-09-12,2024-09-16,4,OTA,EUR,441.36,441.36,False,1765.44,True,False,False,False,1
costa marco,BK00216,marco.costa108@yahoo.com,Spain,pesce,2024-10-24,2024-10-24,2024-10-27,3,OTA,USD,269.7,248.12,False,744.36,False,False,False,False,0
costa olga,BK00403,olga.costa210@gmail.com,Italy,senza glutine,2024-12-11,2024-12-11,2024-12-15,4,OTA,EUR,462.61,462.61,False,1850.44,True,False,False,False,0
costa patricia,BK00102,patricia.costa745@outlook.com,Spain,senza glutine,2024-09-25,2024-09-25,2024-09-29,4,direct,EUR,398.59,398.59,False,1594.36,True,False,False,False,0
costa simone,BK00568,simone.costa115@icloud.com,UAE,pesce,2025-01-12,2025-01-12,2025-01-15,3,OTA,USD,164.19,151.05,False,453.15,False,False,False,False,0
costa sophie,BK00574,sophie.costa631@gmail.com,Italy,italiana,2025-01-13,2025-01-13,2025-01-16,3,OTA,EUR,248.73,248.73,False,746.19,False,False,False,False,0
david esposito,BK00080,david.esposito935@icloud.com,Spain,internazionale,2024-09-22,2024-09-22,2024-09-24,2,direct,EUR,379.78,379.78,False,759.56,True,False,False,False,0
david garcia,BK00268,david.garcia476@yahoo.com,Germany,internazionale,2024-11-08,2024-11-08,2024-11-11,3,OTA,EUR,207.02,207.02,False,621.06,False,False,False,False,0
david klein,BK00146,david.klein74@outlook.com,UK,kosher,2024-10-05,2024-10-05,2024-10-09,4,OTA,EUR,222.06,222.06,False,888.24,False,False,False,False,0
david lopez,BK00288,david.lopez770@outlook.com,Germany,italiana,2024-11-15,2024-11-15,2024-11-17,2,OTA,EUR,245.94,245.94,False,491.88,False,False,False,False,0
david martinez,BK00174,david.martinez268@icloud.com,Switzerland,vegetariana,2024-10-12,2024-10-12,2024-10-13,1,direct,EUR,225.27,225.27,False,225.27,False,False,False,False,0
david nowak,BK00179,david.nowak726@yahoo.com,Italy,senza glutine,2024-10-13,2024-10-13,2024-10-14,1,OTA,EUR,273.4,273.4,False,273.4,False,False,False,False,0
david petrov,BK00715,david.petrov511@gmail.com,France,italiana,2025-02-22,2025-02-22,2025-02-24,2,OTA,EUR,226.53,226.53,False,453.06,False,False,False,False,0
david wagner,BK00098,david.wagner688@outlook.com,Spain,kosher,2024-09-25,2024-09-25,2024-09-29,4,direct,EUR,412.51,412.51,False,1650.04,True,False,False,False,0
david watanabe,BK00440,david.watanabe586@icloud.com,Netherlands,vegana,2024-12-17,2024-12-17,2024-12-19,2,OTA,EUR,413.22,413.22,False,826.44,True,False,False,False,0
david yamamoto,BK00320,david.yamamoto794@icloud.com,USA,vegetariana,2024-11-28,2024-11-28,2024-11-30,2,direct,EUR,258.96,258.96,False,517.92,False,False,False,False,0
diego dubois,BK00244,diego.dubois89@yahoo.com,Spain,pesce,2024-11-02,2024-11-02,2024-11-03,1,OTA,EUR,233.17,233.17,False,233.17,False,False,False,False,0
diego marino,BK00300,diego.marino940@yahoo.com,UK,pesce,2024-11-19,2024-11-19,2024-11-21,2,OTA,EUR,249.83,249.83,False,499.66,False,False,False,False,0
diego novak,BK00339,diego.novak49@outlook.com,France,italiana,2024-12-03,2024-12-03,2024-12-06,3,direct,EUR,366.55,366.55,False,1099.65,True,False,False,False,1
diego petrov,BK00453,diego.petrov767@gmail.com,Japan,senza glutine,2024-12-19,2024-12-19,2024-12-22,3,direct,USD,401.49,369.37,False,1108.11,True,False,False,False,1
diego ricci,BK00729,diego.ricci233@gmail.com,Netherlands,vegetariana,2025-02-27,2025-02-27,2025-03-01,2,OTA,EUR,204.73,204.73,False,409.46,False,False,False,False,0
diego rossi,BK00406,diego.rossi114@outlook.com,UAE,kosher,2024-12-12,2024-12-12,2024-12-16,4,OTA,EUR,466.09,466.09,False,1864.36,True,False,False,False,0
diego suzuki,BK00302,diego.suzuki616@yahoo.com,Switzerland,internazionale,2024-11-21,2024-11-21,2024-11-27,6,OTA,EUR,216.13,216.13,False,1296.78,False,False,False,False,0
diego tanaka,BK00442,diego.tanaka136@yahoo.com,Netherlands,vegana,2024-12-18,2024-12-18,2024-12-20,2,OTA,EUR,388.05,388.05,False,776.1,True,False,False,False,1
diego yamamoto,BK00559,diego.yamamoto645@icloud.com,UAE,vegana,2025-01-07,2025-01-07,2025-01-14,7,OTA,EUR,238.78,238.78,False,1671.46,False,False,False,False,0
dmitri dubois,BK00488,dmitri.dubois857@yahoo.com,Italy,senza glutine,2024-12-24,2024-12-24,2024-12-26,2,direct,EUR,392.7,392.7,False,785.4,True,False,False,False,0
dmitri ferreira,BK00053,dmitri.ferreira468@yahoo.com,Germany,vegetariana,2024-09-18,2024-09-18,2024-09-21,3,direct,EUR,404.38,404.38,False,1213.14,True,False,False,False,0
dmitri hassan,BK00129,dmitri.hassan114@icloud.com,Netherlands,senza glutine,2024-09-29,2024-09-29,2024-10-02,3,direct,EUR,441.52,441.52,False,1324.56,True,False,False,False,1
dmitri kaczmarek,BK00580,dmitri.kaczmarek504@outlook.com,France,vegana,2025-01-14,2025-01-14,2025-01-15,1,OTA,EUR,263.28,263.28,False,263.28,False,False,False,False,0
dmitri leroy,BK00426,dmitri.leroy881@yahoo.com,France,senza glutine,2024-12-15,2024-12-15,2024-12-16,1,OTA,USD,410.95,378.07,False,378.07,True,False,False,False,0
dmitri lopez,BK00764,dmitri.lopez913@icloud.com,USA,halal,2025-03-10,2025-03-10,2025-03-13,3,OTA,EUR,248.15,248.15,False,744.45,False,False,False,False,0
dmitri martinez,BK00361,dmitri.martinez595@outlook.com,Italy,vegana,2024-12-05,2024-12-05,2024-12-08,3,OTA,EUR,459.63,459.63,False,1378.89,True,False,False,False,1
dubois emma,BK00680,emma.dubois719@yahoo.com,France,kosher,2025-02-11,2025-02-11,2025-02-16,5,OTA,EUR,239.11,239.11,False,1195.55,False,False,False,False,1
dubois isabella,BK00532,isabella.dubois250@gmail.com,Germany,halal,2024-12-31,2024-12-31,2025-01-03,3,direct,USD,472.56,434.76,False,1304.28,True,False,False,False,0
dubois john,BK00438,john.dubois735@gmail.com,Germany,vegana,2024-12-16,2024-12-16,2024-12-19,3,OTA,EUR,445.05,445.05,False,1335.15,True,False,False,False,0
dubois patricia,BK00329,patricia.dubois13@gmail.com,USA,vegana,2024-11-30,2024-11-30,2024-12-01,1,OTA,EUR,268.58,268.58,False,268.58,False,False,False,False,0
dubois yuki,BK00528,yuki.dubois934@outlook.com,Switzerland,internazionale,2024-12-30,2024-12-30,2025-01-02,3,OTA,USD,361.14,332.25,False,996.75,True,False,False,False,0
ekaterina girard,BK00315,ekaterina.girard388@outlook.com,Italy,halal,2024-11-26,2024-11-26,2024-12-01,5,OTA,EUR,254.21,254.21,False,1271.05,False,False,False,False,1
ekaterina leroy,BK00625,ekaterina.leroy148@icloud.com,UK,internazionale,2025-01-24,2025-01-24,2025-01-26,2,OTA,EUR,237.18,237.18,False,474.36,False,False,False,False,0
ekaterina ricci,BK00575,ekaterina.ricci299@icloud.com,France,halal,2025-01-13,2025-01-13,2025-01-14,1,OTA,EUR,278.63,278.63,False,278.63,False,False,False,False,0
ekaterina sokolov,BK00079,ekaterina.sokolov235@yahoo.com,Germany,senza glutine,2024-09-22,2024-09-22,2024-09-25,3,direct,EUR,400.34,400.34,False,1201.02,True,False,False,False,1
ekaterina watanabe,BK00360,ekaterina.watanabe172@icloud.com,Japan,pesce,2024-12-05,2024-12-05,2024-12-06,1,direct,EUR,333.23,333.23,False,333.23,True,False,False,False,1
elena kaczmarek,BK00763,elena.kaczmarek277@icloud.com,Spain,internazionale,2025-03-10,2025-03-10,2025-03-13,3,OTA,EUR,233.05,233.05,False,699.15,False,False,False,False,0
elena martinez,BK00061,elena.martinez25@icloud.com,Germany,vegana,2024-09-19,2024-09-19,2024-09-24,5,OTA,USD,408.03,375.39,False,1876.95,True,False,False,False,0
elena nakamura,BK00013,elena.nakamura736@yahoo.com,UAE,internazionale,2024-09-11,2024-09-11,2024-09-16,5,OTA,EUR,392.6,392.6,False,1963.0,True,False,False,False,0
elena petrov,BK00470,elena.petrov538@icloud.com,Spain,vegana,2024-12-22,2024-12-22,2024-12-26,4,OTA,EUR,383.65,383.65,False,1534.6,True,False,False,False,0
emma esposito,BK00258,emma.esposito169@icloud.com,USA,senza glutine,2024-11-06,2024-11-06,2024-11-08,2,OTA,EUR,224.13,224.13,False,448.26,False,False,False,False,0
emma kim,BK00539,emma.kim509@icloud.com,Italy,internazionale,2025-01-03,2025-01-03,2025-01-06,3,OTA,EUR,249.23,249.23,False,747.69,False,False,False,False,0
emma moreau,BK00520,emma.moreau256@icloud.com,Netherlands,vegana,2024-12-28,2024-12-28,2024-12-31,3,direct,EUR,376.98,376.98,False,1130.94,True,False,True,False,1
emma novak,BK00455,emma.novak334@gmail.com,UAE,vegana,2024-12-20,2024-12-20,2024-12-24,4,OTA,EUR,415.93,415.93,False,1663.72,True,False,False,False,0
emma park,BK00642,emma.park149@outlook.com,Italy,internazionale,2025-01-29,2025-01-29,2025-02-02,4,OTA,EUR,185.54,185.54,False,742.16,False,False,False,False,0
emma patel,BK00252,emma.patel937@icloud.com,Italy,internazionale,2024-11-04,2024-11-04,2024-11-06,2,OTA,EUR,236.3,236.3,False,472.6,False,False,False,False,0
emma weber,BK00035,emma.weber577@icloud.com,Spain,italiana,2024-09-15,2024-09-15,2024-09-18,3,direct,USD,421.66,387.93,False,1163.79,True,False,False,False,0
erik fischer,BK00457,erik.fischer793@icloud.com,Spain,pesce,2024-12-20,2024-12-20,2024-12-23,3,direct,EUR,409.62,409.62,False,1228.86,True,False,False,False,1
erik garcia,BK00014,erik.garcia526@yahoo.com,Italy,kosher,2024-09-12,2024-09-12,2024-09-14,2,direct,EUR,383.74,383.74,False,767.48,True,False,False,False,0
erik greco,BK00615,erik.greco835@yahoo.com,Japan,senza glutine,2025-01-22,2025-01-22,2025-01-24,2,direct,EUR,241.32,241.32,False,482.64,False,False,False,False,0
erik marino,BK00283,erik.marino249@gmail.com,Switzerland,senza glutine,2024-11-14,2024-11-14,2024-11-17,3,OTA,EUR,204.17,204.17,False,612.51,False,False,False,False,0
erik moreau,BK00712,erik.moreau438@outlook.com,France,senza glutine,2025-02-20,2025-02-20,2025-02-23,3,direct,EUR,234.22,234.22,False,702.66,False,False,False,False,0
erik novak,BK00617,erik.novak197@yahoo.com,Netherlands,pesce,2025-01-23,2025-01-23,2025-01-25,2,OTA,EUR,226.48,226.48,False,452.96,False,False,False,False,1
erik patel,BK00608,erik.patel321@gmail.com,Germany,halal,2025-01-20,2025-01-20,2025-01-23,3,direct,EUR,270.28,270.28,False,810.84,False,False,False,False,1
erik ricci,BK00531,erik.ricci505@outlook.com,UK,halal,2024-12-30,2024-12-30,2025-01-05,6,OTA,EUR,534.24,534.24,False,3205.44,True,False,False,False,1
esposito fatima,BK00171,fatima.esposito848@yahoo.com,Japan,vegana,2024-10-11,2024-10-11,2024-10-12,1,OTA,EUR,222.94,222.94,False,222.94,False,False,False,False,0
esposito giulia,BK00226,giulia.esposito937@gmail.com,UK,kosher,2024-10-27,2024-10-27,2024-10-30,3,OTA,EUR,227.39,227.39,False,682.17,False,False,False,False,1
esposito kenji,BK00479,kenji.esposito334@icloud.com,Germany,italiana,2024-12-23,2024-12-23,2024-12-30,7,OTA,EUR,395.37,395.37,False,2767.59,True,False,False,False,0
esposito marco,BK00088,marco.esposito892@outlook.com,UK,vegana,2024-09-23,2024-09-23,2024-09-26,3,direct,EUR,431.21,431.21,False,1293.63,True,False,False,False,0
esposito matteo,BK00654,matteo.esposito468@gmail.com,UAE,senza glutine,2025-02-02,2025-02-02,2025-02-04,2,OTA,EUR,213.59,213.59,False,427.18,False,False,False,False,0
esposito olga,BK00503,olga.esposito26@icloud.com,France,halal,2024-12-25,2024-12-25,2024-12-27,2,OTA,EUR,384.69,384.69,False,769.38,True,False,False,False,0
esposito olivia,BK00332,olivia.esposito109@icloud.com,UAE,internazionale,2024-12-02,2024-12-02,2024-12-05,3,OTA,USD,380.96,350.48,False,1051.44,True,False,False,False,0
esposito sara,BK00402,sara.esposito183@gmail.com,UAE,halal,2024-12-11,2024-12-11,2024-12-13,2,OTA,EUR,510.57,510.57,False,1021.14,True,False,False,False,0
esposito thomas,BK00089,thomas.esposito557@yahoo.com,Japan,kosher,2024-09-23,2024-09-23,2024-09-26,3,OTA,EUR,374.79,374.79,False,1124.37,True,False,False,False,0
esposito yuki,BK00567,yuki.esposito439@gmail.com,Italy,internazionale,2025-01-11,2025-01-11,2025-01-15,4,OTA,EUR,233.97,233.97,False,935.88,False,False,False,False,0
fatima fischer,BK00138,fatima.fischer815@icloud.com,France,italiana,2024-10-03,2024-10-03,2024-10-04,1,OTA,EUR,233.5,233.5,False,233.5,False,False,False,False,0
fatima klein,BK00429,fatima.klein287@icloud.com,USA,italiana,2024-12-15,2024-12-15,2024-12-22,7,OTA,EUR,447.06,447.06,False,3129.42,True,False,False,False,0
fatima lopez,BK00261,fatima.lopez743@gmail.com,Spain,halal,2024-11-07,2024-11-07,2024-11-12,5,OTA,EUR,233.72,233.72,False,1168.6,False,False,False,False,1
fatima petrov,BK00156,fatima.petrov112@yahoo.com,France,senza glutine,2024-10-07,2024-10-07,2024-10-08,1,OTA,EUR,242.74,242.74,False,242.74,False,False,False,False,0
fatima singh,BK00624,fatima.singh471@yahoo.com,Italy,vegana,2025-01-24,2025-01-24,2025-01-26,2,OTA,EUR,222.16,222.16,False,444.32,False,False,False,False,0
fatima smith,BK00704,fatima.smith870@gmail.com,UAE,kosher,2025-02-18,2025-02-18,2025-02-20,2,direct,EUR,228.88,228.88,False,457.76,False,False,False,False,0
federica fischer,BK00511,federica.fischer680@icloud.com,Germany,kosher,2024-12-27,2024-12-27,2025-01-01,5,OTA,EUR,499.79,499.79,False,2498.95,True,False,False,False,1
federica kowalski,BK00705,federica.kowalski253@icloud.com,UK,vegana,2025-02-18,2025-02-18,2025-02-20,2,OTA,EUR,259.65,259.65,False,519.3,False,False,False,False,0
federica muller,BK00435,federica.muller883@yahoo.com,Spain,kosher,2024-12-16,2024-12-16,2024-12-20,4,direct,EUR,442.49,442.49,False,1769.96,True,False,False,False,0
federica schmidt,BK00248,federica.schmidt35@yahoo.com,Japan,senza glutine,2024-11-03,2024-11-03,2024-11-05,2,OTA,EUR,245.46,245.46,False,490.92,False,False,False,False,0
federica weber,BK00699,federica.weber397@icloud.com,UAE,italiana,2025-02-16,2025-02-16,2025-02-19,3,OTA,USD,218.05,200.61,False,601.83,False,False,False,False,0
fernandez isabella,BK00579,isabella.fernandez575@outlook.com,France,vegetariana,2025-01-14,2025-01-14,2025-01-16,2,OTA,EUR,181.33,181.33,False,362.66,False,False,False,False,0
fernandez james,BK00666,james.fernandez189@outlook.com,USA,senza glutine,2025-02-07,2025-02-07,2025-02-08,1,OTA,EUR,207.66,207.66,False,207.66,False,False,False,False,0
fernandez layla,BK00090,layla.fernandez825@gmail.com,Germany,vegana,2024-09-23,2024-09-23,2024-09-30,7,OTA,EUR,355.18,355.18,False,2486.26,True,False,False,False,0
fernandez luca,BK00686,luca.fernandez472@yahoo.com,Italy,kosher,2025-02-13,2025-02-13,2025-02-14,1,OTA,EUR,262.78,262.78,False,262.78,False,False,False,False,0
fernandez paolo,BK00670,paolo.fernandez773@outlook.com,UK,vegana,2025-02-08,2025-02-08,2025-02-11,3,OTA,EUR,181.71,181.71,False,545.13,False,False,False,False,0
fernandez pierre,BK00473,pierre.fernandez972@icloud.com,Italy,internazionale,2024-12-22,2024-12-22,2024-12-24,2,OTA,EUR,443.52,443.52,False,887.04,True,False,False,False,0
fernandez valentina,BK00067,valentina.fernandez290@yahoo.com,UK,pesce,2024-09-20,2024-09-20,2024-09-23,3,OTA,EUR,402.17,402.17,False,1206.51,True,False,False,False,1
fernandez youssef,BK00533,youssef.fernandez79@icloud.com,UAE,internazionale,2024-12-31,2024-12-31,2025-01-04,4,direct,USD,384.98,354.18,False,1416.72,True,False,False,False,1
ferrari giorgia,BK00060,giorgia.ferrari942@gmail.com,UAE,vegetariana,2024-09-19,2024-09-19,2024-09-25,6,OTA,EUR,461.75,461.75,False,2770.5,True,False,False,False,1
ferrari giulia,BK00400,giulia.ferrari125@icloud.com,Japan,kosher,2024-12-11,2024-12-11,2024-12-14,3,OTA,USD,431.23,396.73,False,1190.19,True,False,False,False,1
ferrari henri,BK00561,henri.ferrari895@yahoo.com,USA,halal,2025-01-08,2025-01-08,2025-01-12,4,OTA,EUR,280.19,280.19,False,1120.76,False,False,False,False,0
ferrari kenji,BK00068,kenji.ferrari456@outlook.com,Italy,senza glutine,2024-09-20,2024-09-20,2024-09-22,2,OTA,EUR,460.73,460.73,False,921.46,True,False,False,False,0
ferrari laura,BK00151,laura.ferrari572@icloud.com,Japan,pesce,2024-10-06,2024-10-06,2024-10-08,2,direct,EUR,231.38,231.38,False,462.76,False,False,False,False,0
ferrari lucia,BK00263,lucia.ferrari419@yahoo.com,Netherlands,italiana,2024-11-07,2024-11-07,2024-11-09,2,OTA,USD,245.99,226.31,False,452.62,False,False,False,False,0
ferrari valentina,BK00069,valentina.ferrari732@yahoo.com,Switzerland,halal,2024-09-20,2024-09-20,2024-09-25,5,OTA,USD,475.94,437.86,False,2189.3,True,False,False,False,0
ferreira giorgia,BK00500,giorgia.ferreira333@yahoo.com,USA,italiana,2024-12-25,2024-12-25,2024-12-27,2,OTA,EUR,399.46,399.46,False,798.92,True,False,False,False,0
