guest_name,email,country,prima_visita,cibo_preferito
ERIK AL-RASHID,erik.al-rashid476@outlook.com,UK,2026-03-30,italiana
Federica Andersen,federica.andersen314@gmail.com,Spain,2026-08-23,italiana
chiara costa,chiara.costa425@icloud.com,Spain,2026-09-07,vegana
WILLIAM RICCI,william.ricci223@outlook.com,France,2026-08-02,internazionale
LUCA KUMAR,luca.kumar293@yahoo.com,Japan,2026-07-07,halal
klaus nakamura,klaus.nakamura370@icloud.com,UK,2025-05-11,internazionale
  Ananya Nakamura  ,ananya.nakamura661@icloud.com,UK,2026-08-24,kosher
Fischer Emma,emma.fischer355@outlook.com,UK,2026-08-05,internazionale
DIEGO AL-FARSI,diego.al-farsi618@gmail.com,Spain,2025-09-27,kosher
David Ivanov,david.ivanov105@icloud.com,Japan,2025-07-23,italiana
fatima andersen,fatima.andersen491@icloud.com,France,2024-12-06,halal
john marino,john.marino418@gmail.com,USA,2025-11-23,vegana
Esposito Diego,diego.esposito687@icloud.com,Germany,2026-02-14,halal
Leroy Simone,simone.leroy527@gmail.com,Netherlands,2025-07-24,senza glutine
Dmitri Kim,dmitri.kim620@yahoo.com,Italy,2025-07-25,vegetariana
valentina garcia,valentina.garcia686@outlook.com,Italy,2025-11-04,italiana
LAYLA FERNANDEZ,layla.fernandez825@gmail.com,Germany,2024-09-23,vegana
Giorgia Kumar,giorgia.kumar119@yahoo.com,Switzerland,2026-08-19,internazionale
  Alessandro Chen  ,alessandro.chen491@icloud.com,Japan,2025-05-23,pesce
Park Ananya,ananya.park16@outlook.com,Germany,2024-12-22,italiana
HENRI MARTINEZ,henri.martinez273@gmail.com,Italy,2024-09-12,senza glutine
diego kumar,diego.kumar506@gmail.com,France,2026-06-30,italiana
John Leroy,john.leroy51@gmail.com,UK,2026-07-03,internazionale
Marie Sokolov,marie.sokolov787@yahoo.com,Japan,2024-11-28,halal
Emma Moreau,emma.moreau256@icloud.com,Netherlands,2024-12-28,vegana
Amelia Nakamura,amelia.nakamura839@gmail.com,Spain,2025-08-15,vegana
  Andrea Schmidt  ,andrea.schmidt222@gmail.com,UAE,2025-01-29,pesce
  Henri Nowak  ,henri.nowak310@outlook.com,Netherlands,2026-03-25,pesce
AHMED SMITH,ahmed.smith79@outlook.com,Germany,2024-10-18,internazionale
Paolo Meyer,paolo.meyer799@icloud.com,Japan,2025-10-09,kosher
Carlos Greco,carlos.greco417@yahoo.com,Germany,2025-07-13,vegana
Camille Wagner,camille.wagner557@gmail.com,Switzerland,2025-08-23,internazionale
jean ibrahim,jean.ibrahim367@yahoo.com,France,2025-08-03,senza glutine
thomas smith,thomas.smith130@outlook.com,Spain,2024-12-28,halal
Klaus Al-Rashid,klaus.al-rashid635@yahoo.com,Japan,2025-03-08,pesce
David Bruno,david.bruno423@yahoo.com,UAE,2024-10-25,pesce
lucia martinez,lucia.martinez565@outlook.com,France,2024-12-09,senza glutine
CAMILLE KIM,camille.kim79@outlook.com,UAE,2026-08-29,internazionale
Olivia Fischer,olivia.fischer984@gmail.com,UAE,2025-05-12,kosher
Kim Valentina,valentina.kim436@outlook.com,USA,2025-06-05,internazionale
Yamamoto Pierre,pierre.yamamoto861@yahoo.com,Switzerland,2024-12-15,internazionale
Arjun Lopez,arjun.lopez71@yahoo.com,Italy,2026-04-15,halal
Romano Fatima,fatima.romano888@yahoo.com,USA,2026-08-03,internazionale
Chen Fatima,fatima.chen637@yahoo.com,Switzerland,2026-05-23,vegetariana
Robert Park,robert.park74@outlook.com,Switzerland,2025-12-08,pesce
  Pierre Ibrahim  ,pierre.ibrahim506@outlook.com,Netherlands,2026-06-08,senza glutine
youssef weber,youssef.weber845@outlook.com,UK,2025-07-24,vegana
lucia kumar,lucia.kumar263@gmail.com,USA,2026-07-01,kosher
Marie Kowalski,marie.kowalski145@outlook.com,Japan,2026-06-01,internazionale
THOMAS SILVA,thomas.silva434@gmail.com,Italy,2024-09-10,pesce
Matteo Bruno,matteo.bruno809@gmail.com,Spain,2025-09-03,internazionale
olga leroy,olga.leroy9@outlook.com,France,2025-04-25,halal
Fischer Ananya,ananya.fischer554@outlook.com,France,2024-11-18,vegana
MATTEO JOHNSON,matteo.johnson6@outlook.com,Germany,2026-06-25,vegana
olga romano,olga.romano668@outlook.com,Germany,2024-09-13,senza glutine
ananya fernandez,ananya.fernandez842@gmail.com,Germany,2026-03-19,italiana
Arjun Bianchi,arjun.bianchi816@gmail.com,Switzerland,2026-09-04,halal
PATRICIA IVANOV,patricia.ivanov641@outlook.com,France,2025-09-01,italiana
emma popov,emma.popov156@icloud.com,Germany,2025-07-07,italiana
David Smith,david.smith815@outlook.com,USA,2025-12-05,internazionale
Romano Francesco,francesco.romano522@icloud.com,UK,2026-06-04,internazionale
Ekaterina Popov,ekaterina.popov878@outlook.com,France,2025-03-30,halal
Yuki Petrov,yuki.petrov227@gmail.com,Switzerland,2025-04-10,halal
Kobayashi Simone,simone.kobayashi87@icloud.com,Spain,2025-12-05,halal
elena hassan,elena.hassan421@outlook.com,Switzerland,2026-08-11,vegetariana
dmitri popov,dmitri.popov842@yahoo.com,UK,2025-06-01,vegana
FATIMA RICCI,fatima.ricci711@yahoo.com,Spain,2025-07-10,halal
MARIE GIRARD,marie.girard948@yahoo.com,UAE,2026-09-06,senza glutine
  Marco Ricci  ,marco.ricci39@outlook.com,Spain,2025-01-18,vegetariana
Olga Wagner,olga.wagner545@gmail.com,UK,2024-11-08,vegetariana
Ricci Omar,omar.ricci734@icloud.com,UAE,2025-11-22,internazionale
ekaterina sokolov,ekaterina.sokolov235@yahoo.com,Germany,2024-09-22,senza glutine
Alessandro Smith,alessandro.smith505@yahoo.com,Italy,2025-01-23,kosher
anna suzuki,anna.suzuki458@icloud.com,Switzerland,2025-12-13,vegana
nikolai suzuki,nikolai.suzuki692@icloud.com,Germany,2025-12-31,vegana
ELENA SHARMA,elena.sharma30@outlook.com,Spain,2025-09-15,kosher
Maria Conti,maria.conti283@outlook.com,Switzerland,2025-07-14,pesce
Martinez Diego,diego.martinez178@outlook.com,UK,2025-11-07,vegana
  Patricia Weber  ,patricia.weber919@yahoo.com,USA,2025-12-23,internazionale
Valentina Costa,valentina.costa772@outlook.com,UK,2026-06-03,vegetariana
Ferreira Ahmed,ahmed.ferreira864@icloud.com,Germany,2026-05-26,senza glutine
elena greco,elena.greco272@icloud.com,Italy,2026-01-06,vegetariana
Andersen Olga,olga.andersen315@yahoo.com,France,2026-07-19,vegana
CAMILLE MEYER,camille.meyer746@icloud.com,Italy,2026-06-21,vegetariana
lucia garcia,lucia.garcia96@icloud.com,Japan,2024-12-18,vegana
  Henri Lefevre  ,henri.lefevre790@yahoo.com,France,2026-08-19,vegana
AHMED KLEIN,ahmed.klein702@gmail.com,Japan,2026-07-18,pesce
Simone Silva,simone.silva70@outlook.com,UK,2025-06-12,senza glutine
VALENTINA FERNANDEZ,valentina.fernandez290@yahoo.com,UK,2024-09-20,pesce
giorgia petrov,giorgia.petrov797@gmail.com,USA,2025-12-04,italiana
  Ahmed Smith  ,ahmed.smith926@gmail.com,Spain,2025-08-10,vegetariana
Bernard Diego,diego.bernard324@yahoo.com,Spain,2026-04-09,vegetariana
SOPHIE KUMAR,sophie.kumar213@icloud.com,USA,2025-09-22,vegetariana
Fatima Lopez,fatima.lopez743@gmail.com,Spain,2024-11-07,halal
patricia bruno,patricia.bruno855@outlook.com,Germany,2025-04-04,pesce
ingrid watanabe,ingrid.watanabe334@icloud.com,Japan,2026-07-13,halal
WILLIAM SCHMIDT,william.schmidt750@yahoo.com,Germany,2024-09-28,italiana
Sara Rossi,sara.rossi47@yahoo.com,France,2026-03-26,halal
fatima nakamura,fatima.nakamura133@icloud.com,Japan,2025-05-25,italiana
patricia smith,patricia.smith59@outlook.com,USA,2025-08-17,senza glutine
ANANYA SMITH,ananya.smith528@gmail.com,Germany,2025-09-25,internazionale
  Youssef Romano  ,youssef.romano989@outlook.com,Netherlands,2025-04-09,senza glutine
matteo ibrahim,matteo.ibrahim336@gmail.com,UK,2025-12-28,pesce
KLAUS KIM,klaus.kim663@gmail.com,Germany,2026-02-06,pesce
Paolo Fischer,paolo.fischer70@gmail.com,Japan,2024-11-17,halal
Paolo Moreau,paolo.moreau572@gmail.com,Netherlands,2025-07-09,vegana
francesco nowak,francesco.nowak716@gmail.com,Switzerland,2026-04-03,italiana
ekaterina silva,ekaterina.silva625@gmail.com,Netherlands,2026-03-09,italiana
ingrid esposito,ingrid.esposito652@gmail.com,Japan,2025-10-03,pesce
Astrid Fernandez,astrid.fernandez966@yahoo.com,USA,2026-05-10,italiana
  Dmitri Martinez  ,dmitri.martinez595@outlook.com,Italy,2024-12-05,vegana
OLGA COSTA,olga.costa210@gmail.com,Italy,2024-12-11,senza glutine
Nowak Lucia,lucia.nowak218@gmail.com,UK,2025-12-30,vegetariana
dmitri greco,dmitri.greco134@outlook.com,Italy,2026-02-06,halal
WILLIAM KACZMAREK,william.kaczmarek471@icloud.com,Spain,2026-06-09,halal
Carlos Nowak,carlos.nowak542@outlook.com,UAE,2025-01-24,italiana
SIMONE AL-FARSI,simone.al-farsi839@outlook.com,Italy,2025-09-18,vegetariana
giulia fernandez,giulia.fernandez242@gmail.com,Japan,2026-01-02,italiana
Hassan Olga,olga.hassan846@outlook.com,UAE,2025-03-12,senza glutine
  Olga Johnson  ,olga.johnson132@gmail.com,Japan,2025-09-18,internazionale
YUKI SINGH,yuki.singh267@outlook.com,Netherlands,2025-12-21,kosher
Kim Astrid,astrid.kim413@gmail.com,USA,2025-03-01,vegana
Pierre Nowak,pierre.nowak566@gmail.com,Italy,2025-07-09,pesce
Laura Kumar,laura.kumar796@gmail.com,UK,2025-03-03,vegetariana
LUCA IVANOV,luca.ivanov242@yahoo.com,France,2026-07-23,senza glutine
JAMES COSTA,james.costa994@gmail.com,Germany,2025-03-26,halal
Hans Colombo,hans.colombo550@gmail.com,UK,2024-12-12,vegana
Ivanov Andrea,andrea.ivanov253@yahoo.com,Japan,2024-09-27,senza glutine
  James Wagner  ,james.wagner811@outlook.com,Netherlands,2024-10-04,italiana
Marco Weber,marco.weber324@yahoo.com,Spain,2025-02-04,vegetariana
DAVID PARK,david.park979@gmail.com,UK,2025-12-06,senza glutine
Olivia Park,olivia.park424@icloud.com,UAE,2024-09-18,kosher
Tanaka Arjun,arjun.tanaka254@icloud.com,UK,2025-05-20,internazionale
Marie Sharma,marie.sharma697@yahoo.com,Japan,2024-10-18,pesce
  John Muller  ,john.muller647@icloud.com,USA,2025-07-23,vegana
Yuki Al-Rashid,yuki.al-rashid180@outlook.com,UAE,2024-10-08,internazionale
nikolai ibrahim,nikolai.ibrahim211@yahoo.com,Spain,2025-12-05,italiana
DMITRI SHARMA,dmitri.sharma62@outlook.com,Japan,2026-02-01,senza glutine
pierre rossi,pierre.rossi820@icloud.com,Switzerland,2026-03-20,pesce
Youssef Suzuki,youssef.suzuki42@icloud.com,Spain,2025-03-12,pesce
Moreau Fatima,fatima.moreau516@icloud.com,Japan,2026-07-06,vegetariana
  John Park  ,john.park671@icloud.com,UAE,2026-02-03,pesce
GIORGIA PETROV,giorgia.petrov523@outlook.com,Japan,2024-10-16,vegetariana
  Chiara Ivanov  ,chiara.ivanov342@outlook.com,USA,2025-08-11,senza glutine
  Lucia Kaczmarek  ,lucia.kaczmarek83@yahoo.com,UK,2026-04-29,halal
  Thomas Dubois  ,thomas.dubois181@yahoo.com,Germany,2025-06-07,vegana
Charlotte Costa,charlotte.costa490@outlook.com,Japan,2025-07-12,kosher
INGRID KOWALSKI,ingrid.kowalski317@icloud.com,Germany,2025-12-16,senza glutine
  Ahmed Patel  ,ahmed.patel311@icloud.com,Germany,2024-10-15,pesce
astrid chen,astrid.chen424@icloud.com,UK,2026-08-24,halal
HENRI KACZMAREK,henri.kaczmarek739@yahoo.com,UAE,2025-01-17,vegetariana
valentina suzuki,valentina.suzuki449@yahoo.com,France,2024-09-23,italiana
Francesco Rossi,francesco.rossi136@icloud.com,Japan,2024-09-12,senza glutine
CHARLOTTE KLEIN,charlotte.klein736@yahoo.com,Spain,2025-07-21,halal
francesco martinez,francesco.martinez881@gmail.com,UAE,2026-07-14,pesce
  Silvia Ibrahim  ,silvia.ibrahim403@yahoo.com,Japan,2026-06-12,pesce
andrea ferreira,andrea.ferreira998@gmail.com,Italy,2026-07-28,italiana
Patricia Rossi,patricia.rossi813@outlook.com,UK,2025-09-26,internazionale
Youssef Hassan,youssef.hassan435@yahoo.com,Italy,2025-08-15,vegetariana
Fernandez Andrea,andrea.fernandez931@outlook.com,Germany,2025-07-15,senza glutine
pierre schmidt,pierre.schmidt335@outlook.com,France,2024-10-05,internazionale
INGRID TANAKA,ingrid.tanaka107@outlook.com,UK,2026-07-26,vegana
klaus nowak,klaus.nowak879@icloud.com,France,2025-09-08,vegana
Silva Isabella,isabella.silva23@yahoo.com,Germany,2025-08-18,italiana
SIMONE KUMAR,simone.kumar671@gmail.com,UK,2025-09-17,italiana
Federica Moreau,federica.moreau745@icloud.com,Switzerland,2026-05-28,kosher
Valentina Klein,valentina.klein436@gmail.com,Germany,2025-03-12,vegetariana
Ekaterina Klein,ekaterina.klein200@outlook.com,France,2026-02-24,vegana
matteo costa,matteo.costa149@yahoo.com,USA,2026-02-25,internazionale
Dmitri Ivanov,dmitri.ivanov512@icloud.com,UK,2026-06-26,senza glutine
robert girard,robert.girard588@yahoo.com,UK,2024-09-14,vegana
Klaus Johnson,klaus.johnson470@outlook.com,USA,2025-01-12,halal
omar ferreira,omar.ferreira674@gmail.com,Netherlands,2025-08-26,internazionale
Costa Andrea,andrea.costa51@yahoo.com,Switzerland,2026-06-27,halal
LAURA RICCI,laura.ricci489@yahoo.com,USA,2026-08-23,senza glutine
Martinez Giulia,giulia.martinez617@icloud.com,Spain,2025-11-27,kosher
youssef greco,youssef.greco609@yahoo.com,USA,2025-02-27,kosher
ISABELLA KUMAR,isabella.kumar318@outlook.com,Spain,2025-01-28,vegana
nikolai al-farsi,nikolai.al-farsi354@icloud.com,Netherlands,2025-12-21,senza glutine
GIULIA SOKOLOV,giulia.sokolov521@outlook.com,UAE,2025-02-25,halal
SARA SMITH,sara.smith548@icloud.com,Switzerland,2025-10-13,halal
Paolo Romano,paolo.romano404@outlook.com,UK,2026-06-19,halal
NIKOLAI LEROY,nikolai.leroy611@gmail.com,Italy,2025-07-17,vegana
Fernandez Carlos,carlos.fernandez805@outlook.com,Switzerland,2025-07-11,kosher
DMITRI BRUNO,dmitri.bruno516@icloud.com,Japan,2024-09-28,internazionale
Olivia Lefevre,olivia.lefevre780@yahoo.com,Italy,2025-04-14,pesce
Klaus Conti,klaus.conti142@yahoo.com,Germany,2026-02-12,vegana
olga kim,olga.kim344@gmail.com,Germany,2025-07-02,vegana
Youssef Fernandez,youssef.fernandez79@icloud.com,UAE,2024-12-31,internazionale
Watanabe Ekaterina,ekaterina.watanabe172@icloud.com,Japan,2024-12-05,pesce
  Olga Silva  ,olga.silva1@yahoo.com,UAE,2024-11-28,italiana
MARIA KUMAR,maria.kumar53@outlook.com,Switzerland,2025-12-31,pesce
Ananya Lopez,ananya.lopez426@outlook.com,Italy,2025-12-08,italiana
Youssef Chen,youssef.chen99@yahoo.com,UAE,2025-09-19,pesce
GIORGIA SUZUKI,giorgia.suzuki78@outlook.com,Netherlands,2025-09-10,vegetariana
ALESSANDRO MULLER,alessandro.muller491@yahoo.com,USA,2024-12-28,pesce
sophie ricci,sophie.ricci471@outlook.com,UAE,2025-09-10,vegana
CHIARA FERRARI,chiara.ferrari54@gmail.com,UK,2024-10-20,halal
david sharma,david.sharma37@gmail.com,Japan,2026-08-04,pesce
Ananya Singh,ananya.singh231@gmail.com,Japan,2024-10-18,vegana
Olivia Al-Farsi,olivia.al-farsi637@outlook.com,Switzerland,2025-08-02,kosher
chiara meyer,chiara.meyer316@outlook.com,Germany,2024-09-10,internazionale
henri garcia,henri.garcia33@gmail.com,UAE,2026-05-19,italiana
  Giulia Ferreira  ,giulia.ferreira988@outlook.com,USA,2025-01-07,vegana
Sophie Johnson,sophie.johnson638@outlook.com,Spain,2026-08-03,halal
Matteo Moreau,matteo.moreau200@yahoo.com,USA,2024-10-03,halal
Camille Esposito,camille.esposito253@outlook.com,UAE,2026-06-12,kosher
Astrid Meyer,astrid.meyer129@yahoo.com,USA,2025-12-30,vegana
  Layla Hassan  ,layla.hassan556@icloud.com,Netherlands,2025-04-09,internazionale
ALESSANDRO TANAKA,alessandro.tanaka679@icloud.com,Germany,2025-02-16,internazionale
Pierre Novak,pierre.novak771@gmail.com,Spain,2025-07-01,internazionale
Colombo Ahmed,ahmed.colombo347@outlook.com,UK,2026-06-16,halal
Erik Kowalski,erik.kowalski968@icloud.com,Japan,2026-07-03,italiana
Laura Sharma,laura.sharma913@gmail.com,Germany,2025-01-17,italiana
SILVIA AL-FARSI,silvia.al-farsi946@outlook.com,France,2025-06-28,italiana
robert watanabe,robert.watanabe412@yahoo.com,Netherlands,2025-03-27,vegana
Andrea Conti,andrea.conti606@icloud.com,Netherlands,2024-12-13,senza glutine
olivia andersen,olivia.andersen990@yahoo.com,Netherlands,2025-12-25,italiana
OLGA SOKOLOV,olga.sokolov98@icloud.com,Japan,2025-06-25,vegetariana
Al-Farsi Erik,erik.al-farsi894@gmail.com,Japan,2025-03-13,vegetariana
dmitri klein,dmitri.klein71@icloud.com,Spain,2026-07-05,italiana
Costa Ahmed,ahmed.costa93@yahoo.com,Italy,2026-04-08,internazionale
  Sophie Chen  ,sophie.chen914@icloud.com,France,2026-05-05,vegetariana
Rossi Matteo,matteo.rossi680@gmail.com,Switzerland,2024-09-29,pesce
Giorgia Schmidt,giorgia.schmidt744@gmail.com,UAE,2026-07-29,internazionale
laura hassan,laura.hassan239@outlook.com,Italy,2025-11-05,pesce
Lucia Johnson,lucia.johnson261@gmail.com,Switzerland,2025-09-11,vegana
Francesco Weber,francesco.weber86@gmail.com,Italy,2024-09-15,internazionale
Giulia Klein,giulia.klein338@gmail.com,Germany,2026-07-20,halal
Hans Leroy,hans.leroy256@yahoo.com,UK,2025-10-02,vegetariana
ARJUN FERNANDEZ,arjun.fernandez307@gmail.com,UAE,2026-06-14,senza glutine
  Kenji Marino  ,kenji.marino499@gmail.com,Spain,2025-12-29,vegetariana
ELENA WAGNER,elena.wagner566@icloud.com,UAE,2026-05-31,vegana
Watanabe Luca,luca.watanabe887@gmail.com,Netherlands,2026-02-06,vegana
WILLIAM KOWALSKI,william.kowalski410@outlook.com,UAE,2026-08-01,halal
GIULIA KACZMAREK,giulia.kaczmarek689@gmail.com,UK,2025-03-14,internazionale
Federica Weber,federica.weber397@icloud.com,UAE,2025-02-16,italiana
Patricia Chen,patricia.chen557@gmail.com,UK,2026-02-27,pesce
Kaczmarek Charlotte,charlotte.kaczmarek806@icloud.com,UK,2025-09-10,vegana
  Ahmed Al-Rashid  ,ahmed.al-rashid625@yahoo.com,Japan,2025-12-01,kosher
Thomas Kowalski,thomas.kowalski981@icloud.com,Germany,2026-02-23,pesce
Marie Ricci,marie.ricci461@yahoo.com,Switzerland,2025-10-06,internazionale
DIEGO SINGH,diego.singh421@outlook.com,UK,2026-05-21,kosher
CAMILLE SMITH,camille.smith311@gmail.com,Netherlands,2025-06-11,vegetariana
Aiko Bianchi,aiko.bianchi602@icloud.com,France,2026-07-01,senza glutine
SIMONE SMITH,simone.smith280@gmail.com,Germany,2024-12-05,vegetariana
Patricia Wagner,patricia.wagner458@yahoo.com,Italy,2025-12-19,kosher
  Arjun Meyer  ,arjun.meyer675@gmail.com,Spain,2026-07-17,italiana
  Sophie Watanabe  ,sophie.watanabe560@outlook.com,Switzerland,2025-04-12,halal
LAYLA ROSSI,layla.rossi926@outlook.com,Switzerland,2025-06-15,halal
Aiko Nilsson,aiko.nilsson728@icloud.com,UK,2025-06-04,senza glutine
Popov Marco,marco.popov510@icloud.com,Netherlands,2025-10-25,internazionale
John Johnson,john.johnson706@yahoo.com,USA,2025-07-28,pesce
  Olivia Martinez  ,olivia.martinez497@icloud.com,Switzerland,2024-12-06,kosher
Luca Esposito,luca.esposito28@icloud.com,Switzerland,2026-07-17,halal
AHMED AL-RASHID,ahmed.al-rashid471@outlook.com,Germany,2025-02-19,kosher
ANANYA BRUNO,ananya.bruno701@icloud.com,Italy,2025-09-26,vegetariana
Carlos Silva,carlos.silva876@gmail.com,Switzerland,2025-11-27,pesce
NIKOLAI SOKOLOV,nikolai.sokolov938@icloud.com,Spain,2024-09-30,senza glutine
KLAUS WAGNER,klaus.wagner587@yahoo.com,Netherlands,2024-11-28,italiana
ANDREA SINGH,andrea.singh976@outlook.com,Germany,2026-08-26,vegana
Luca Meyer,luca.meyer780@gmail.com,Italy,2026-01-06,halal
Ingrid Greco,ingrid.greco932@gmail.com,Netherlands,2024-09-26,halal
Nikolai Greco,nikolai.greco996@gmail.com,Switzerland,2026-05-28,halal
MARCO BRUNO,marco.bruno901@yahoo.com,Germany,2025-09-14,italiana
simone ibrahim,simone.ibrahim259@gmail.com,Germany,2024-11-06,italiana
camille martinez,camille.martinez761@yahoo.com,Switzerland,2026-01-23,kosher
Layla Ferrari,layla.ferrari410@outlook.com,France,2025-09-09,pesce
  Giorgia Kim  ,giorgia.kim175@yahoo.com,Netherlands,2025-02-19,vegana
maria bruno,maria.bruno299@yahoo.com,Spain,2026-07-11,pesce
sara garcia,sara.garcia250@yahoo.com,Germany,2025-05-25,halal
dmitri kumar,dmitri.kumar318@outlook.com,UAE,2025-05-17,italiana
John Ricci,john.ricci203@gmail.com,USA,2025-05-04,vegana
  Kenji Singh  ,kenji.singh180@outlook.com,UAE,2026-04-29,halal
Sharma Sara,sara.sharma15@yahoo.com,Italy,2026-02-20,vegana
  Kenji Greco  ,kenji.greco878@icloud.com,France,2026-07-23,senza glutine
YOUSSEF WAGNER,youssef.wagner782@icloud.com,France,2025-03-18,italiana
Martinez Matteo,matteo.martinez444@yahoo.com,UK,2026-05-19,halal
Valentina Johnson,valentina.johnson812@icloud.com,Italy,2025-11-03,kosher
AMELIA YAMAMOTO,amelia.yamamoto754@outlook.com,Switzerland,2025-06-06,kosher
Patel Charlotte,charlotte.patel905@yahoo.com,Italy,2024-09-27,vegana
Maria Dubois,maria.dubois679@gmail.com,Spain,2026-06-11,vegetariana
Meyer Kenji,kenji.meyer889@yahoo.com,USA,2025-03-31,italiana
Moreau Thomas,thomas.moreau18@yahoo.com,USA,2025-12-17,kosher
Camille Hassan,camille.hassan231@icloud.com,Netherlands,2025-10-08,italiana
alessandro nowak,alessandro.nowak646@icloud.com,USA,2024-09-12,italiana
OLIVIA SMITH,olivia.smith874@outlook.com,Italy,2026-09-07,kosher
  Astrid Muller  ,astrid.muller678@gmail.com,France,2026-06-09,italiana
DAVID KUMAR,david.kumar953@gmail.com,UAE,2025-09-03,vegana
Kim Charlotte,charlotte.kim582@icloud.com,Spain,2026-01-23,vegetariana
Olivia Lopez,olivia.lopez18@gmail.com,Japan,2025-08-29,vegana
ANNA KLEIN,anna.klein84@gmail.com,Switzerland,2026-04-03,internazionale
Simone Fischer,simone.fischer343@icloud.com,Netherlands,2024-12-19,kosher
Patricia Ferreira,patricia.ferreira454@icloud.com,UAE,2025-08-14,vegana
OMAR NILSSON,omar.nilsson443@icloud.com,Switzerland,2025-06-19,vegetariana
  Paolo Klein  ,paolo.klein998@gmail.com,Japan,2025-08-20,internazionale
LUCIA DUBOIS,lucia.dubois585@gmail.com,UK,2025-08-16,halal
Alessandro Rossi,alessandro.rossi240@yahoo.com,Spain,2024-12-23,halal
  Diego Leroy  ,diego.leroy516@outlook.com,Japan,2026-08-29,pesce
Lucia Bruno,lucia.bruno626@yahoo.com,UAE,2024-09-17,vegetariana
Elena Chen,elena.chen755@yahoo.com,Netherlands,2024-09-15,internazionale
Chen Maria,maria.chen891@icloud.com,Netherlands,2025-07-08,internazionale
Pierre Chen,pierre.chen597@gmail.com,USA,2025-12-12,pesce
LUCIA LEROY,lucia.leroy779@yahoo.com,UK,2025-01-22,vegetariana
SIMONE CHEN,simone.chen715@outlook.com,Italy,2025-09-26,senza glutine
robert johnson,robert.johnson878@gmail.com,UK,2026-03-11,vegana
Simone Park,simone.park84@gmail.com,Netherlands,2024-11-27,vegana
AHMED PETROV,ahmed.petrov210@gmail.com,UK,2026-09-02,internazionale
laura silva,laura.silva729@gmail.com,UAE,2025-06-20,halal
Astrid Al-Rashid,astrid.al-rashid226@gmail.com,Netherlands,2025-12-23,vegana
CHARLOTTE PETROV,charlotte.petrov775@outlook.com,France,2024-12-07,vegetariana
Klein Aiko,aiko.klein217@outlook.com,Germany,2026-02-24,kosher
MARCO COLOMBO,marco.colombo511@icloud.com,Switzerland,2026-06-22,senza glutine
SOPHIE NOVAK,sophie.novak514@gmail.com,Spain,2024-12-04,internazionale
luca lefevre,luca.lefevre147@yahoo.com,Switzerland,2024-12-15,vegetariana
Anna Fernandez,anna.fernandez122@icloud.com,France,2025-05-13,vegana
INGRID COSTA,ingrid.costa248@yahoo.com,Italy,2024-09-15,senza glutine
simone fernandez,simone.fernandez546@outlook.com,Japan,2026-09-03,vegetariana
Youssef Marino,youssef.marino441@icloud.com,USA,2025-12-01,vegetariana
arjun ricci,arjun.ricci847@icloud.com,Japan,2025-12-05,kosher
  Chiara Nowak  ,chiara.nowak778@yahoo.com,Switzerland,2026-08-20,italiana
  Camille Watanabe  ,camille.watanabe596@outlook.com,UAE,2026-06-18,pesce
Aiko Kowalski,aiko.kowalski904@yahoo.com,Switzerland,2026-06-09,halal
Aiko Watanabe,aiko.watanabe475@outlook.com,USA,2025-06-21,halal
CHIARA IBRAHIM,chiara.ibrahim755@gmail.com,UK,2025-06-19,senza glutine
Petrov Emma,emma.petrov646@gmail.com,UAE,2025-05-25,internazionale
  Luca Martinez  ,luca.martinez227@gmail.com,Japan,2025-06-25,senza glutine
james tanaka,james.tanaka940@icloud.com,Netherlands,2025-07-06,vegana
  Patricia Ibrahim  ,patricia.ibrahim937@gmail.com,France,2024-12-22,italiana
Patricia Bianchi,patricia.bianchi677@yahoo.com,France,2025-06-30,senza glutine
Aiko Costa,aiko.costa643@gmail.com,Switzerland,2025-08-14,vegana
  Ingrid Ivanov  ,ingrid.ivanov240@gmail.com,USA,2025-06-06,vegana
VALENTINA MARINO,valentina.marino254@outlook.com,Switzerland,2025-01-07,vegetariana
Chen Federica,federica.chen568@gmail.com,Germany,2025-07-08,vegetariana
  Federica Kaczmarek  ,federica.kaczmarek286@gmail.com,Netherlands,2025-08-31,senza glutine
andrea moreau,andrea.moreau804@icloud.com,Spain,2026-03-08,kosher
Dmitri Tanaka,dmitri.tanaka100@outlook.com,UAE,2026-02-26,vegana
Lucia Patel,lucia.patel6@yahoo.com,Spain,2025-02-16,kosher
Aiko Hassan,aiko.hassan384@gmail.com,USA,2024-09-28,senza glutine
Giulia Smith,giulia.smith346@outlook.com,UK,2025-06-04,italiana
  Omar Ricci  ,omar.ricci275@outlook.com,Germany,2024-12-30,halal
isabella patel,isabella.patel675@icloud.com,Switzerland,2025-07-20,italiana
Olga Al-Farsi,olga.al-farsi903@outlook.com,Japan,2026-08-30,pesce
  Elena Ivanov  ,elena.ivanov494@outlook.com,France,2025-01-24,vegana
LUCA PATEL,luca.patel733@gmail.com,Germany,2025-06-11,kosher
OMAR PATEL,omar.patel569@icloud.com,Japan,2026-03-13,internazionale
Yuki Patel,yuki.patel898@yahoo.com,USA,2025-09-14,vegana
william petrov,william.petrov236@outlook.com,Japan,2024-10-02,vegetariana
Klaus Lopez,klaus.lopez671@yahoo.com,USA,2025-01-03,italiana
Nilsson Yuki,yuki.nilsson704@icloud.com,UAE,2026-08-08,pesce
olga singh,olga.singh653@outlook.com,USA,2024-12-03,senza glutine
